event_id,time_ms,tick,note,note_name,velocity_on,time_off_ms,tick_off,velocity_off,duration_ms
469,90312,20272,67,G4,47,90388,20289,37,76
470,90482,20310,76,E5,58,90661,20350,42,179
471,90491,20312,71,B4,61,90620,20341,49,129
472,90491,20312,69,A4,59,90612,20339,49,121
473,90491,20312,67,G4,56,90638,20345,36,147
474,90969,20419,67,G4,57,91232,20478,19,263
475,90969,20419,76,E5,59,91232,20478,15,263
476,91290,20491,52,E3,59,92348,20728,28,1058
477,91460,20529,75,D#5,60,91879,20623,39,420
478,91469,20531,67,G4,57,91951,20639,26,482
479,91911,20630,64,E4,49,92411,20742,24,500
480,91911,20630,76,E5,57,92040,20659,47,129
481,92348,20728,54,F#3,60,92531,20769,48,183
482,92362,20731,78,F#5,59,92531,20769,41,170
483,92370,20733,72,C5,53,92562,20776,36,192
484,92379,20735,76,E5,64,92531,20769,35,152
485,92808,20831,78,F#5,55,93272,20935,56,464
486,92812,20832,76,E5,61,93201,20919,24,388
487,92821,20834,72,C5,52,93259,20932,31,437
488,93250,20930,54,F#3,79,93620,21013,59,371
489,93598,21008,72,C5,64,93808,21055,35,210
490,93598,21008,76,E5,73,93821,21058,26,223
491,93732,21038,54,F#3,67,94192,21141,50,460
492,94062,21112,72,C5,56,94161,21134,44,98
493,94170,21136,59,B3,63,94678,21250,53,509
494,94638,21241,75,D#5,53,94951,21311,56,312
495,94638,21241,78,F#5,41,94960,21313,50,321
496,94652,21244,71,B4,53,94969,21315,44,317
497,94942,21309,59,B3,58,95210,21369,36,268
498,95120,21349,76,E5,57,95321,21394,57,201
499,95129,21351,71,B4,57,95379,21407,5,250
500,95129,21351,75,D#5,47,95250,21378,31,121
501,95549,21445,78,F#5,60,95821,21506,36,272
502,95558,21447,59,B3,57,96018,21550,47,460
503,95571,21450,71,B4,59,95781,21497,31,210
504,96031,21553,71,B4,57,96201,21591,33,170
505,96031,21553,76,E5,59,96161,21582,41,129
506,96031,21553,79,G5,56,96170,21584,35,138
507,96031,21553,64,E4,54,96571,21674,7,540
508,96031,21553,74,D5,58,96152,21580,35,121
509,96482,21654,79,G5,53,97129,21799,31,647
510,96482,21654,74,D5,60,97062,21784,5,580
511,96482,21654,76,E5,57,97112,21795,23,629
512,96491,21656,71,B4,57,96839,21734,28,348
513,96759,21716,52,E3,59,98379,22079,37,1621
514,97241,21824,64,E4,64,97728,21933,35,487
515,97281,21833,71,B4,62,97469,21875,36,187
516,97428,21866,74,D5,57,97540,21891,41,112
517,97732,21934,74,D5,50,98201,22039,23,469
518,97741,21936,76,E5,57,98219,22043,36,478
519,97741,21936,79,G5,47,98228,22045,46,487
520,97741,21936,71,B4,49,98219,22043,36,478
521,98178,22034,64,E4,55,98732,22158,36,554
522,98370,22077,76,E5,64,98670,22144,36,299
523,98370,22077,74,D5,64,98652,22140,33,281
524,98370,22077,71,B4,60,98661,22142,31,290
525,98370,22077,79,G5,59,98638,22137,36,268
526,98652,22140,52,E3,53,99629,22359,5,978
527,98812,22176,78,F#5,55,99250,22274,3,437
528,98830,22180,74,D5,59,99089,22238,26,259
529,98830,22180,71,B4,56,99129,22247,29,299
530,99281,22281,64,E4,50,99759,22388,19,478
531,99290,22283,79,G5,63,99411,22310,48,121
532,99308,22287,78,F#5,44,99348,22296,36,40
533,99741,22384,72,C5,46,99928,22426,37,187
534,99750,22386,57,A3,56,99888,22417,35,138
535,99750,22386,79,G5,46,99911,22422,31,161
536,99750,22386,76,E5,57,99911,22422,39,161
537,99759,22388,81,A5,49,99928,22426,36,170
538,100201,22487,81,A5,61,100710,22601,39,509
539,100201,22487,72,C5,58,100701,22599,35,500
540,100201,22487,76,E5,66,100687,22596,37,487
541,100661,22590,57,A3,64,100969,22659,41,308
542,100942,22653,76,E5,60,101379,22751,15,437
543,100942,22653,79,G5,59,101442,22765,33,500
544,100951,22655,72,C5,57,101362,22747,17,411
545,101009,22668,60,C4,56,101170,22704,36,161
546,101411,22758,61,C#4,53,101629,22807,61,219
547,101598,22800,62,D4,57,102080,22908,33,482
