userID,window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
4,29,435000,42.045,32.567,224.424,793.507,25.933,34,69.672,7.727,10,4.2,0.667,3.612,87.75,3.719,0,0.0,0.0
4,30,450000,46.904,33.932,201.639,459.384,16.792,27,71.63,7.583,9,3.778,0.6,2.89,59.04,3.68,0,0.0,0.0
4,31,465000,48.034,37.782,167.767,457.345,17.661,29,72.517,9.256,7,3.571,0.467,2.851,90.722,3.056,4,73.5,1.25
4,32,480000,46.151,30.075,277.308,917.642,29.132,30,69.547,8.115,7,3.571,0.467,3.453,78.556,4.167,0,0.0,0.0
4,33,495000,44.793,37.948,258.0,1107.552,31.599,25,67.828,6.719,10,3.6,0.667,3.966,83.077,3.692,4,101.25,1.0
4,34,510000,56.889,40.639,183.056,303.292,13.332,29,69.569,9.028,6,3.667,0.4,2.889,115.25,3.25,2,117.0,1.5
4,35,525000,49.817,37.939,170.963,159.378,6.817,30,67.634,10.852,8,3.0,0.533,2.524,65.875,0.625,0,0.0,0.0
4,36,540000,49.234,36.351,192.711,369.26,12.76,29,68.416,9.658,9,3.667,0.6,2.909,112.083,3.792,0,0.0,0.0
4,37,555000,46.818,32.42,166.966,315.205,11.348,34,65.352,10.023,10,3.7,0.667,2.58,141.148,3.852,3,87.667,1.667
4,38,570000,45.605,36.977,170.094,361.453,11.002,30,71.535,9.459,13,3.615,0.867,2.895,96.147,5.176,2,75.5,1.5
4,39,585000,47.933,36.556,313.023,1773.311,83.474,32,66.2,7.455,4,4.5,0.267,3.622,65.643,3.214,0,0.0,0.0
4,40,600000,45.5,39.25,512.0,1340.25,3.469,12,82.75,4.0,0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0
4,0,0,48.959,33.836,204.083,192.37,7.238,32,68.288,11.917,3,3.0,0.2,2.247,84.5,4.5,0,0.0,0.0
4,1,15000,49.193,34.705,168.977,186.057,7.126,32,65.989,11.977,4,3.25,0.267,2.352,108.0,2.556,1,104.0,2.0
4,2,30000,49.757,31.614,210.754,239.114,8.943,31,65.214,11.855,5,3.4,0.333,2.214,91.917,4.083,0,0.0,0.0
4,3,45000,47.378,32.085,184.667,382.524,14.102,34,66.829,11.877,4,3.5,0.267,2.707,105.5,3.4,3,67.333,1.0
4,4,60000,44.577,29.692,290.569,680.558,31.154,34,64.192,12.0,5,3.6,0.333,2.577,75.769,2.846,0,0.0,0.0
4,5,75000,49.756,31.679,185.247,216.449,8.404,32,65.885,11.753,4,3.25,0.267,2.256,93.444,4.111,0,0.0,0.0
4,6,90000,47.716,28.852,170.816,218.545,9.017,32,65.307,10.793,3,3.0,0.2,2.477,83.333,0.167,0,0.0,0.0
4,7,105000,50.339,32.145,234.967,301.581,9.012,29,65.968,9.295,3,3.0,0.2,2.194,44.0,3.167,1,97.0,1.0
4,8,120000,47.912,31.485,208.328,533.118,17.063,34,66.838,11.657,6,3.167,0.4,3.015,70.0,2.692,1,76.0,1.0
4,9,135000,42.983,25.068,255.983,660.542,27.521,34,62.847,8.414,8,3.125,0.533,2.949,68.647,2.235,0,0.0,0.0
4,10,150000,44.347,26.12,196.419,424.333,12.027,32,65.067,9.149,5,3.4,0.333,2.747,111.0,4.917,1,69.0,2.0
4,11,165000,44.346,29.397,182.273,598.59,27.641,34,64.782,9.182,7,3.429,0.467,3.026,100.529,2.706,1,111.0,2.0
